"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2020","98.43","95.50","100.18","95.11","25.95M","2.23%"
"Jul 12, 2020","96.28","98.25","99.04","95.51","26.04M","-1.75%"
"Jul 05, 2020","97.99","99.62","100.03","95.72","27.23M","-0.45%"
"Jun 28, 2020","98.43","93.70","99.66","93.70","29.78M","5.08%"
"Jun 21, 2020","93.67","96.85","102.22","93.57","58.48M","-2.20%"
"Jun 14, 2020","95.78","93.90","101.34","93.44","32.81M","-0.67%"
"Jun 07, 2020","96.43","103.05","104.30","94.74","35.14M","-6.11%"
"May 31, 2020","102.71","98.40","104.69","97.89","38.10M","4.19%"
"May 24, 2020","98.58","95.98","100.69","95.28","32.70M","5.15%"
"May 17, 2020","93.75","90.49","94.65","89.88","32.93M","7.77%"
"May 10, 2020","86.99","89.45","91.67","84.11","33.90M","-3.84%"
"May 03, 2020","90.46","84.68","90.64","84.31","30.07M","5.75%"
"Apr 26, 2020","85.54","88.38","91.39","84.81","37.00M","-3.20%"
"Apr 19, 2020","88.37","88.43","89.53","85.09","30.10M","-1.71%"
"Apr 12, 2020","89.91","85.80","90.25","83.71","37.01M","3.59%"
"Apr 05, 2020","86.79","81.91","88.87","81.21","36.15M","10.06%"
"Mar 29, 2020","78.86","84.00","85.96","77.16","51.56M","-5.25%"
"Mar 22, 2020","83.23","65.00","86.86","60.58","94.98M","23.40%"
"Mar 15, 2020","67.45","65.28","74.06","60.00","86.54M","-10.76%"
"Mar 08, 2020","75.58","81.89","88.40","71.76","85.60M","-14.46%"
"Mar 01, 2020","88.36","89.60","94.98","85.88","56.96M","-1.14%"
"Feb 23, 2020","89.38","95.54","97.07","85.15","56.67M","-10.84%"
"Feb 16, 2020","100.25","103.00","103.39","99.63","23.30M","-3.18%"
"Feb 09, 2020","103.54","99.22","103.89","99.00","26.85M","4.12%"
"Feb 02, 2020","99.44","99.00","102.78","98.57","32.16M","3.26%"
"Jan 26, 2020","96.30","98.21","101.30","95.92","35.86M","-5.62%"
"Jan 19, 2020","102.03","104.25","105.62","101.66","20.83M","-2.39%"
"Jan 12, 2020","104.53","101.00","104.55","100.82","28.86M","3.60%"
"Jan 05, 2020","100.90","100.95","102.74","100.76","26.52M","-1.00%"
"Dec 29, 2019","101.92","101.54","102.21","100.31","16.90M","0.34%"
"Dec 22, 2019","101.57","100.23","101.79","99.55","18.70M","1.61%"
