Categoría: Todas las categorías

Semana,adidas: (Todo el mundo)
2015-08-02,53
2015-08-09,54
2015-08-16,59
2015-08-23,58
2015-08-30,58
2015-09-06,58
2015-09-13,55
2015-09-20,52
2015-09-27,53
2015-10-04,55
2015-10-11,53
2015-10-18,53
2015-10-25,50
2015-11-01,54
2015-11-08,55
2015-11-15,53
2015-11-22,63
2015-11-29,61
2015-12-06,63
2015-12-13,67
2015-12-20,69
2015-12-27,66
2016-01-03,63
2016-01-10,59
2016-01-17,64
2016-01-24,63
2016-01-31,64
2016-02-07,64
2016-02-14,69
2016-02-21,66
2016-02-28,69
2016-03-06,68
2016-03-13,75
2016-03-20,76
2016-03-27,74
2016-04-03,75
2016-04-10,74
2016-04-17,71
2016-04-24,68
2016-05-01,69
2016-05-08,66
2016-05-15,70
2016-05-22,70
2016-05-29,70
2016-06-05,72
2016-06-12,69
2016-06-19,71
2016-06-26,73
2016-07-03,75
2016-07-10,70
2016-07-17,68
2016-07-24,70
2016-07-31,73
2016-08-07,71
2016-08-14,73
2016-08-21,74
2016-08-28,74
2016-09-04,73
2016-09-11,70
2016-09-18,72
2016-09-25,74
2016-10-02,70
2016-10-09,73
2016-10-16,69
2016-10-23,65
2016-10-30,64
2016-11-06,66
2016-11-13,70
2016-11-20,92
2016-11-27,83
2016-12-04,81
2016-12-11,83
2016-12-18,80
2016-12-25,81
2017-01-01,71
2017-01-08,72
2017-01-15,71
2017-01-22,71
2017-01-29,71
2017-02-05,73
2017-02-12,69
2017-02-19,74
2017-02-26,77
2017-03-05,76
2017-03-12,76
2017-03-19,75
2017-03-26,77
2017-04-02,77
2017-04-09,77
2017-04-16,70
2017-04-23,76
2017-04-30,73
2017-05-07,68
2017-05-14,66
2017-05-21,64
2017-05-28,67
2017-06-04,66
2017-06-11,68
2017-06-18,71
2017-06-25,70
2017-07-02,71
2017-07-09,70
2017-07-16,68
2017-07-23,72
2017-07-30,72
2017-08-06,76
2017-08-13,73
2017-08-20,73
2017-08-27,77
2017-09-03,71
2017-09-10,67
2017-09-17,66
2017-09-24,68
2017-10-01,68
2017-10-08,67
2017-10-15,66
2017-10-22,64
2017-10-29,64
2017-11-05,70
2017-11-12,73
2017-11-19,100
2017-11-26,81
2017-12-03,76
2017-12-10,82
2017-12-17,77
2017-12-24,80
2017-12-31,67
2018-01-07,71
2018-01-14,68
2018-01-21,65
2018-01-28,69
2018-02-04,65
2018-02-11,65
2018-02-18,69
2018-02-25,65
2018-03-04,67
2018-03-11,70
2018-03-18,70
2018-03-25,73
2018-04-01,72
2018-04-08,73
2018-04-15,69
2018-04-22,67
2018-04-29,68
2018-05-06,66
2018-05-13,62
2018-05-20,62
2018-05-27,67
2018-06-03,66
2018-06-10,67
2018-06-17,68
2018-06-24,71
2018-07-01,72
2018-07-08,71
2018-07-15,71
2018-07-22,69
2018-07-29,70
2018-08-05,69
2018-08-12,68
2018-08-19,67
2018-08-26,68
2018-09-02,70
2018-09-09,67
2018-09-16,69
2018-09-23,65
2018-09-30,61
2018-10-07,61
2018-10-14,63
2018-10-21,60
2018-10-28,60
2018-11-04,62
2018-11-11,63
2018-11-18,89
2018-11-25,75
2018-12-02,67
2018-12-09,71
2018-12-16,69
2018-12-23,72
2018-12-30,60
2019-01-06,63
2019-01-13,61
2019-01-20,59
2019-01-27,60
2019-02-03,59
2019-02-10,58
2019-02-17,60
2019-02-24,62
2019-03-03,63
2019-03-10,65
2019-03-17,69
2019-03-24,70
2019-03-31,67
2019-04-07,65
2019-04-14,63
2019-04-21,63
2019-04-28,62
2019-05-05,60
2019-05-12,61
2019-05-19,64
2019-05-26,65
2019-06-02,70
2019-06-09,62
2019-06-16,64
2019-06-23,62
2019-06-30,63
2019-07-07,64
2019-07-14,66
2019-07-21,64
2019-07-28,70
2019-08-04,66
2019-08-11,69
2019-08-18,66
2019-08-25,66
2019-09-01,63
2019-09-08,63
2019-09-15,62
2019-09-22,60
2019-09-29,60
2019-10-06,60
2019-10-13,57
2019-10-20,57
2019-10-27,56
2019-11-03,62
2019-11-10,61
2019-11-17,63
2019-11-24,92
2019-12-01,74
2019-12-08,69
2019-12-15,70
2019-12-22,69
2019-12-29,62
2020-01-05,63
2020-01-12,63
2020-01-19,63
2020-01-26,60
2020-02-02,57
2020-02-09,56
2020-02-16,59
2020-02-23,56
2020-03-01,57
2020-03-08,54
2020-03-15,40
2020-03-22,42
2020-03-29,44
2020-04-05,49
2020-04-12,55
2020-04-19,54
2020-04-26,56
2020-05-03,57
2020-05-10,59
2020-05-17,63
2020-05-24,66
2020-05-31,61
2020-06-07,62
2020-06-14,63
2020-06-21,60
2020-06-28,60
2020-07-05,58
2020-07-12,60
2020-07-19,59
2020-07-26,61
