Categoría: Todas las categorías

Semana,nike: (Todo el mundo),adidas: (Todo el mundo)
2015-08-02,51,27
2015-08-09,52,27
2015-08-16,52,29
2015-08-23,53,29
2015-08-30,52,29
2015-09-06,51,29
2015-09-13,49,27
2015-09-20,48,26
2015-09-27,47,27
2015-10-04,48,27
2015-10-11,48,26
2015-10-18,53,25
2015-10-25,47,25
2015-11-01,48,27
2015-11-08,48,28
2015-11-15,49,27
2015-11-22,59,31
2015-11-29,58,31
2015-12-06,58,31
2015-12-13,58,33
2015-12-20,59,34
2015-12-27,54,32
2016-01-03,53,31
2016-01-10,49,30
2016-01-17,49,31
2016-01-24,49,32
2016-01-31,50,32
2016-02-07,52,32
2016-02-14,52,35
2016-02-21,52,33
2016-02-28,53,34
2016-03-06,54,34
2016-03-13,56,37
2016-03-20,58,39
2016-03-27,56,37
2016-04-03,55,37
2016-04-10,55,37
2016-04-17,52,36
2016-04-24,52,35
2016-05-01,51,35
2016-05-08,49,33
2016-05-15,51,35
2016-05-22,50,34
2016-05-29,51,35
2016-06-05,50,35
2016-06-12,49,34
2016-06-19,51,36
2016-06-26,50,37
2016-07-03,51,37
2016-07-10,48,35
2016-07-17,49,34
2016-07-24,50,35
2016-07-31,53,36
2016-08-07,52,35
2016-08-14,52,37
2016-08-21,51,37
2016-08-28,51,38
2016-09-04,50,36
2016-09-11,47,36
2016-09-18,47,36
2016-09-25,47,36
2016-10-02,49,36
2016-10-09,50,36
2016-10-16,45,34
2016-10-23,44,32
2016-10-30,46,33
2016-11-06,47,33
2016-11-13,49,36
2016-11-20,61,45
2016-11-27,58,42
2016-12-04,56,40
2016-12-11,56,41
2016-12-18,53,40
2016-12-25,53,40
2017-01-01,46,36
2017-01-08,47,36
2017-01-15,46,34
2017-01-22,45,35
2017-01-29,45,35
2017-02-05,45,36
2017-02-12,44,34
2017-02-19,48,37
2017-02-26,50,38
2017-03-05,50,37
2017-03-12,49,37
2017-03-19,51,38
2017-03-26,54,39
2017-04-02,51,39
2017-04-09,49,38
2017-04-16,45,35
2017-04-23,47,37
2017-04-30,46,37
2017-05-07,45,34
2017-05-14,45,33
2017-05-21,44,32
2017-05-28,45,33
2017-06-04,45,33
2017-06-11,45,34
2017-06-18,44,35
2017-06-25,47,35
2017-07-02,48,35
2017-07-09,47,35
2017-07-16,48,35
2017-07-23,49,36
2017-07-30,51,36
2017-08-06,51,38
2017-08-13,50,36
2017-08-20,51,36
2017-08-27,51,38
2017-09-03,51,36
2017-09-10,48,34
2017-09-17,47,34
2017-09-24,46,34
2017-10-01,47,34
2017-10-08,47,33
2017-10-15,46,32
2017-10-22,47,32
2017-10-29,46,33
2017-11-05,50,35
2017-11-12,50,36
2017-11-19,67,49
2017-11-26,58,42
2017-12-03,55,38
2017-12-10,54,41
2017-12-17,55,38
2017-12-24,57,40
2017-12-31,47,33
2018-01-07,48,36
2018-01-14,47,34
2018-01-21,47,33
2018-01-28,47,34
2018-02-04,47,33
2018-02-11,47,32
2018-02-18,49,34
2018-02-25,50,32
2018-03-04,49,33
2018-03-11,50,35
2018-03-18,51,35
2018-03-25,53,37
2018-04-01,51,36
2018-04-08,51,36
2018-04-15,49,34
2018-04-22,48,34
2018-04-29,48,34
2018-05-06,48,33
2018-05-13,46,31
2018-05-20,46,31
2018-05-27,48,33
2018-06-03,48,33
2018-06-10,50,34
2018-06-17,46,34
2018-06-24,46,36
2018-07-01,47,35
2018-07-08,51,35
2018-07-15,54,35
2018-07-22,52,35
2018-07-29,53,35
2018-08-05,54,34
2018-08-12,54,34
2018-08-19,51,34
2018-08-26,51,34
2018-09-02,100,35
2018-09-09,59,33
2018-09-16,50,34
2018-09-23,50,33
2018-09-30,49,31
2018-10-07,47,30
2018-10-14,48,31
2018-10-21,45,30
2018-10-28,46,30
2018-11-04,48,31
2018-11-11,51,32
2018-11-18,69,44
2018-11-25,59,37
2018-12-02,56,34
2018-12-09,60,35
2018-12-16,59,34
2018-12-23,59,37
2018-12-30,49,30
2019-01-06,50,31
2019-01-13,51,30
2019-01-20,48,29
2019-01-27,48,30
2019-02-03,50,29
2019-02-10,49,29
2019-02-17,54,30
2019-02-24,53,31
2019-03-03,53,32
2019-03-10,52,32
2019-03-17,54,34
2019-03-24,56,35
2019-03-31,55,33
2019-04-07,54,33
2019-04-14,53,32
2019-04-21,50,31
2019-04-28,53,31
2019-05-05,51,30
2019-05-12,50,31
2019-05-19,51,32
2019-05-26,53,32
2019-06-02,52,35
2019-06-09,51,31
2019-06-16,49,32
2019-06-23,50,31
2019-06-30,56,32
2019-07-07,53,32
2019-07-14,54,33
2019-07-21,55,32
2019-07-28,57,35
2019-08-04,57,33
2019-08-11,59,34
2019-08-18,57,34
2019-08-25,56,32
2019-09-01,55,32
2019-09-08,53,31
2019-09-15,52,31
2019-09-22,52,31
2019-09-29,53,30
2019-10-06,54,30
2019-10-13,52,28
2019-10-20,52,28
2019-10-27,51,28
2019-11-03,55,30
2019-11-10,60,30
2019-11-17,60,31
2019-11-24,83,46
2019-12-01,70,37
2019-12-08,68,35
2019-12-15,67,34
2019-12-22,69,35
2019-12-29,59,31
2020-01-05,57,31
2020-01-12,56,32
2020-01-19,56,31
2020-01-26,58,30
2020-02-02,58,29
2020-02-09,56,28
2020-02-16,57,29
2020-02-23,57,28
2020-03-01,58,28
2020-03-08,53,27
2020-03-15,40,20
2020-03-22,42,21
2020-03-29,44,22
2020-04-05,47,24
2020-04-12,51,27
2020-04-19,52,27
2020-04-26,56,27
2020-05-03,58,29
2020-05-10,58,29
2020-05-17,62,31
2020-05-24,67,33
2020-05-31,61,31
2020-06-07,62,31
2020-06-14,60,31
2020-06-21,56,30
2020-06-28,61,30
2020-07-05,59,29
2020-07-12,59,30
2020-07-19,61,30
2020-07-26,61,31
